building_id,agent,nombre,tipo_uso,area_techada_m2,ev_total,ev_moto_lineal,ev_mototaxi,ev_camioneta,ev_pool_size,elementos_controlados,elementos_no_controlados,acciones_dim,observaciones_dim
1,Building_1,ELECTRO ORIENTE S.A.,Office,14000.0,4,1,1,2,40,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x4","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: DataCenter Precision AC; ciclo desplazable potencial: 14.8 kWh/ciclo",6,61
2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,8000.0,6,3,2,1,60,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x6","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); ciclo desplazable potencial: 35.6 kWh/ciclo",8,75
3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,6000.0,8,1,5,2,80,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x8","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: Chiller Central Water-Cooled; ciclo desplazable potencial: 95.0 kWh/ciclo",10,89
4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,2500.0,6,3,2,1,60,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x6","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: Food Cold Chain Racks / Rooftop; ciclo desplazable potencial: 22.2 kWh/ciclo",8,75
5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,1141.89,3,1,1,1,30,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x3","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: Commercial Kitchen Walk-in Cold Rooms; ciclo desplazable potencial: 99.0 kWh/ciclo",5,54
6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,20637.0,32,22,6,4,320,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x32","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: Multi-Chiller Plant; ciclo desplazable potencial: 176.0 kWh/ciclo",34,257
7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,8103.45,42,25,14,3,420,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x42","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); ciclo desplazable potencial: 39.2 kWh/ciclo",44,327
8,Building_8,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,Assembly_Military,21000.0,17,8,5,4,170,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x17","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); ciclo desplazable potencial: 99.3 kWh/ciclo",19,152
9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,4479.67,10,6,3,1,100,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x10","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: DataCenter Precision AC (N+1); ciclo desplazable potencial: 12.1 kWh/ciclo",12,103
10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,14295.73,6,1,1,4,60,"BESS (electrical_storage) x1, Carga desplazable (washing_machine) x1, EV charger x6","non_shiftable_load (carga base medida); cooling_demand / refrigeración (modelada, no accionada directamente); dhw_demand (ACS modelada); solar_generation (FV fija por edificio); sistema grande: Duct Central Split System; ciclo desplazable potencial: 22.2 kWh/ciclo",8,75
