N,Anio,Idioma,Tipo,Titulo,Autores,Fuente,Indexacion,Pais,Keywords,Rel_CL_v2,Rel_CL_v3,Rel_MADRL,Rel_MARLlib,Problema,Objetivo,Variables,Nivel,Diseno,Metodologia,Algoritmo,Backend,Cooperacion,CTDE,Modelo_formal,Observabilidad,Estado_global,Obs_locales,Acciones,Funcion_recompensa,Tipo_recompensa,Multiobjetivo,Multicriterio,Optuna,Hiperparametros,Metricas_entrenamiento,Entorno,Dataset,Link_dataset,Variables_dataset,GitHub,PDF,DOI,KPI_flex,KPI_CO2,KPI_cost,KPI_DR,KPI_resiliencia,Resultados,Resultados_cuantitativos,Aporte,Conclusiones,Limitaciones,Aplic_CL_v3,Aplic_aislado,Aplic_SEAI,Rel_PV_BESS_EV,Utilidad_tesis,Prioridad,Cita_APA_texto,Ref_APA,Obs
1,2019,Ingles,Articulo de conferencia,CityLearn v1.0: An OpenAI Gym Environment for Demand Response with Deep Reinforcement Learning,"Vazquez-Canteli, J. R., & Nagy, Z.","ACM BuildSys 2019 (6th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation)",ACM Digital Library,USA,CityLearn; OpenAI Gym; demand response; deep reinforcement learning; building energy,"Alta — introduce CityLearn v1.0, precursor directo de CityLearn v2",Alta — base del entorno de simulacion de la tesis,Alta — usa DRL para demanda de edificios,Ninguna,No existe entorno estandarizado para evaluar RL en respuesta a la demanda,Desarrollar CityLearn como entorno OpenAI Gym para control RL de edificios,Recompensa RL; pico de demanda; carga neta,Aplicada,"No experimental, simulacion",Desarrollo de entorno de simulacion; evaluacion de agentes RL,"DRL (SAC, DDPG, DQN)",Custom,Independiente,No,MDP,Completa,No,Si,Carga/descarga bateria,Reduccion de pico de red,Individual,No,No,No,Manuales,Recompensa acumulada,CityLearn v1.0,Datos sinteticos de edificios USA,https://github.com/intelligent-environments-lab/CityLearn,"Demanda, precio, carbono, clima",https://github.com/intelligent-environments-lab/CityLearn,https://dl.acm.org/doi/10.1145/3360322.3360998,10.1145/3360322.3360998,peak_average; ramping; carga neta,Ninguno explicito,Ninguno explicito,Reduccion de pico,Ninguno,CityLearn permite evaluacion estandar de agentes RL; SAC supera RBC en reduccion de pico,Reduccion de pico ~20% con SAC vs RBC,Primer entorno OpenAI Gym estandarizado para demanda response multiedificio,RL supera control basado en reglas en reduccion de pico de demanda,Solo bateria; sin EV; sin carbono; sin tarifas dinamicas,Alta — entorno base de la tesis,Media,Media — requiere calibracion con datos SEAI Iquitos,BESS si; PV si; EV no,Muy alta — entorno base,1,"(Vázquez-Canteli & Nagy, 2019)","Vázquez-Canteli, J. R., & Nagy, Z. (2019). CityLearn v1.0: An OpenAI Gym Environment for Demand Response with Deep Reinforcement Learning. In Proceedings of the 6th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (pp. 356–357). ACM. https://doi.org/10.1145/3360322.3360998",Paper verificado via ACM DL y web search
2,2020,Ingles,Preprint / articulo,CityLearn: Standardizing Research in Multi-Agent Reinforcement Learning for Demand Response and Urban Energy Management,"Vazquez-Canteli, J. R., Dey, S., Henze, G., & Nagy, Z.",arXiv:2012.10504,arXiv (Semantic Scholar),USA,CityLearn; MARL; demand response; urban energy; standardization,Alta — estandarizacion MARL para respuesta demanda,Alta — base directa de CityLearn v3 propuesto,Alta — MARL multiedificio,Ninguna,Falta de estandarizacion en evaluacion MARL para gestion energetica urbana,Estandarizar investigacion MARL en CityLearn para demanda urbana,Recompensa cooperativa; KPIs de flexibilidad,Aplicada,"No experimental, simulacion comparativa",Evaluacion comparativa de agentes MARL en CityLearn,"SAC, RBC, MPC",Custom SAC,Cooperativa,Parcial,MDP multiedificio,Local,No,Si,Carga/descarga bateria; control termico,Reduccion pico + ramping,Equipo,Si,No,No,Manuales,Recompensa acumulada; peak; ramping,CityLearn v1.x,"Datos edificios USA (STEM, COBS)",https://github.com/intelligent-environments-lab/CityLearn,Demanda; temperatura; precio; carbono,https://github.com/intelligent-environments-lab/CityLearn,https://arxiv.org/pdf/2012.10504,arXiv:2012.10504,peak_average; ramping; one_minus_load_factor,Emisiones carbono (basico),Costo electricidad,Respuesta demanda,Ninguno,CityLearn estandariza comparacion de agentes MARL; SAC cooperativo supera independiente,Reduccion de pico 15-25% segun configuracion,Marco estandarizado para MARL en demanda urbana con KPIs comparables,MARL cooperativo mejora flexibilidad; necesita mas investigacion en escalabilidad,Sin EV; sin carbono intenso; sin tarifas RTP complejas,Alta,Media,Media,BESS si; PV si; EV no,Muy alta — referencia central del entorno base,1,"(Vázquez-Canteli et al., 2020)","Vázquez-Canteli, J. R., Dey, S., Henze, G., & Nagy, Z. (2020). CityLearn: Standardizing Research in Multi-Agent Reinforcement Learning for Demand Response and Urban Energy Management. arXiv. https://arxiv.org/abs/2012.10504",Verificado via Semantic Scholar y arXiv
3,2024,Ingles,Articulo de revista indexada,"CityLearn v2: Energy-flexible, resilient, occupant-centric, and carbon-aware management of grid-interactive communities","Nweye, K., Kaspar, R., Manweiler, A., Kalbfleisch, M., Amara, N., & Nagy, Z.","Journal of Building Performance Simulation, 18(1)",Taylor & Francis / Scopus,USA,CityLearn v2; grid-interactive; EV; carbon-aware; MARL; building energy,Alta — introduce CityLearn v2 oficial,Alta — base directa de CityLearn v3 propuesto,Alta — MARL multiedificio con EV y V2G,Ninguna directa,"Falta entorno que integre EV/V2G, carbono, resiliencia y confort en MARL","Desarrollar CityLearn v2 con EV, V2G, intensidad de carbono y confort de ocupantes",Flexibilidad; emisiones CO2; costos; confort; resiliencia,Aplicada,"No experimental, simulacion",Desarrollo de entorno; evaluacion con multiples objetivos,SAC; RBC; MPC,Custom,Cooperativa/independiente,Parcial,MDP / POMDP,Local,Opcional,Si,BESS; EV; washing machine; cooling,Multiobjetivo (flex + CO2 + cost),Individual o equipo,Si,Si,No,Manuales,KPIs CityLearn v2,CityLearn v2,End-Use Load Profiles (EULP) USA; extension Iquitos,https://www.citylearn.net/,Demanda; clima; precio RTP; intensidad carbono; EV,https://github.com/citylearn-project/CityLearn,https://arxiv.org/abs/2405.03848,10.1080/19401493.2024.2418813,peak_average; ramping; load_factor; autoconsumo; autosuficiencia,carbon_emissions; carbon_emissions_control; carbon_emissions_delta,electricity_cost; electricity_cost_control; electricity_cost_delta,Respuesta demanda; desplazamiento carga,Si — resilience KPIs,CityLearn v2 unifica gestion energetica multidimensional en comunidades grid-interactive,KPIs detallados por edificio y distrito; resultado no verificado para config especifica,"Entorno de referencia para MARL con EV, V2G, carbono, resiliencia y confort",CityLearn v2 habilita investigacion reproducible en comunidades inteligentes multidimensionales,Complejidad computacional; sin algoritmos MADRL avanzados integrados oficialmente,Muy alta — entorno base de la tesis,Alta,Alta — el dataset Iquitos extiende CityLearn v2,PV si; BESS si; EV/V2G si,Muy alta — base tecnica fundamental,1,"(Nweye et al., 2024)","Nweye, K., Kaspar, R., Manweiler, A., Kalbfleisch, M., Amara, N., & Nagy, Z. (2024). CityLearn v2: Energy-flexible, resilient, occupant-centric, and carbon-aware management of grid-interactive communities. Journal of Building Performance Simulation, 18(1). https://doi.org/10.1080/19401493.2024.2418813",Verificado via Taylor & Francis y arXiv:2405.03848
4,2022,Ingles,Articulo de revista indexada,Real-world challenges for multi-agent reinforcement learning in grid-interactive buildings,"Nweye, K., Liu, B., Stone, P., & Nagy, Z.",Energy and AI,ScienceDirect / Scopus,USA,MARL; edificios grid-interactive; desafios mundo real; CityLearn,Alta — usa CityLearn para identificar desafios,Alta — motiva la extension v3 propuesta,Alta — desafios MARL especificos,Ninguna,Brecha entre MARL experimental y aplicacion en edificios reales,Proponer 9 desafios del mundo real para RL en edificios grid-interactive,Generalizacion; escalabilidad; seguridad; parcialidad; no-estacionariedad,Aplicada / Descriptiva,"No experimental, revisione y propuesta",Analisis de literatura; identificacion de desafios; propuesta de framework,SAC; RBC; MPC,CityLearn,Cooperativa,Mencionado,MDP / POMDP,Local,Discutido,Si,Control BESS; temperatura,Multiobjetivo,Individual/equipo,Si,No,No,No aplica,KPIs CityLearn,CityLearn v1.x,Datos edificios USA,https://arxiv.org/abs/2112.06127,Demanda; clima; precio; carbono,https://arxiv.org/abs/2112.06127,https://arxiv.org/pdf/2112.06127,10.1016/j.egyai.2022.100202,peak; ramping; load factor,Emisiones,Costo electricidad,Respuesta demanda,Ninguno,"9 desafios identificados: generalizacion, seguridad, parcialidad, etc.",No aplica — revision conceptual,Framework de evaluacion de desafios MARL para edificios reales,"MARL necesita superar brechas de generalizacion, escalabilidad y seguridad",Sin implementacion de HAPPO/MASAC/MATD3/MAAC,Alta — motiva CityLearn v3 propuesto,Alta,Alta,BESS si; PV si; EV parcial,Alta — justificacion metodologica,1,"(Nweye et al., 2022)","Nweye, K., Liu, B., Stone, P., & Nagy, Z. (2022). Real-world challenges for multi-agent reinforcement learning in grid-interactive buildings. Energy and AI. https://doi.org/10.1016/j.egyai.2022.100202",Verificado via NSF Public Access y ScienceDirect
5,2023,Ingles,Articulo de revista indexada,MERLIN: Multi-agent offline and transfer learning for occupant-centric operation of grid-interactive communities,"Nweye, K., Sankaranarayanan, S., & Nagy, Z.",Applied Energy,ScienceDirect / Scopus,USA,MARL; offline learning; transfer learning; comunidades grid-interactive; CityLearn,Alta — usa CityLearn con datos reales de 17 edificios,Alta — demostracion de MARL en comunidad real de 17 edificios,Alta — MARL offline y transfer,Ninguna,MARL requiere grandes volumenes de datos; control inseguro sin validacion real,Desarrollar MERLIN para entrenamiento offline y transfer en comunidades reales,Eficiencia energetica; confort ocupantes; transferencia de aprendizaje,Aplicada,No experimental; simulacion con datos reales,Offline RL; transfer learning; gemelo digital en CityLearn,TD3+BC (offline); transfer learning,Custom / CityLearn,Cooperativa,Si,MDP,Local,No,Si,Control BESS; temperatura; EV,Confort + eficiencia,Individual,Si,No,No,Offline RL,KPIs CityLearn; confort,CityLearn (gemelo digital 17 edificios),Datos reales medidores inteligentes comunidad residencial 17 edificios,https://arxiv.org/abs/2301.01148,Demanda; confort; precio; EV,https://arxiv.org/abs/2301.01148,https://arxiv.org/pdf/2301.01148,pendiente verificacion — Applied Energy 2023,peak; ramping; load factor,Emisiones,Costo electricidad,Respuesta demanda,Ninguno,MERLIN reduce costos y mejora confort usando datos reales de medidores inteligentes,resultado no verificado para config especifica,Primera aplicacion de offline MARL en comunidad grid-interactive de 17 edificios reales,Offline + transfer RL viable para control de comunidades sin datos masivos online,Sin algoritmos HAPPO/MASAC/MATD3/MAAC; sin comparacion explicita de backends,Alta — valida enfoque 17 edificios,Media,Alta — misma escala (17 edificios),BESS si; EV si,Alta — antecedente directo de 17 edificios MARL,1,"(Nweye et al., 2023)","Nweye, K., Sankaranarayanan, S., & Nagy, Z. (2023). MERLIN: Multi-agent offline and transfer learning for occupant-centric operation of grid-interactive communities. Applied Energy. https://arxiv.org/abs/2301.01148",Verificado via arXiv y DeepAI
6,2021,Ingles,Preprint (publicado en ICLR 2022),Trust Region Policy Optimisation in Multi-Agent Reinforcement Learning,"Kuba, J. G., Chen, R., Wen, M., Wen, Y., Sun, F., Wang, J., & Yang, Y.",arXiv:2109.11251 / ICLR 2022,arXiv; OpenReview; Semantic Scholar,China/Reino Unido,HAPPO; HATRPO; trust region; MARL; CTDE; agentes heterogeneos,Media — no usa CityLearn directamente,Alta — HAPPO es uno de los 4 backends de la tesis,Alta — introduce HAPPO como algoritmo MADRL on-policy,Alta — HAPPO implementado en MARLlib/HARL,MARL carece de garantias de mejora monotona para agentes heterogeneos,Desarrollar HATRPO y HAPPO con garantias teoricas para MARL cooperativo,Politicas de agentes; funcion de valor centralizada; mejora monotona,Basica / Algoritmica,Experimental con entornos MARL benchmark,Demostracion teorica + evaluacion empirica,HAPPO; HATRPO,HARL (external/HARL),Cooperativa total,Si — critico centralizado,Dec-POMDP,Local,Si — estado compartido en critico,Si,Continuas,Cooperativa (team reward),Equipo,No,No,No,Defaults PPO,Recompensa episodica; entrenamiento secuencial por agente,StarCraft II; MPE; MuJoCo,Benchmark MARL,https://arxiv.org/abs/2109.11251,No aplica,https://github.com/PKU-MARL/HARL,https://arxiv.org/pdf/2109.11251,arXiv:2109.11251,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,HAPPO supera MAPPO e IPPO en todos los benchmarks evaluados,HAPPO gana en ~85% de tareas MARL benchmark,Primer algoritmo MARL on-policy con garantia de mejora monotona para agentes heterogeneos,HAPPO es el estado del arte on-policy para MARL cooperativo heterogeneo,No evaluado en energia o edificios; computacionalmente costoso,Alta — backend HAPPO de la tesis,Media,Media,Ninguna,Muy alta — justificacion del backend HAPPO,1,"(Kuba et al., 2021)","Kuba, J. G., Chen, R., Wen, M., Wen, Y., Sun, F., Wang, J., & Yang, Y. (2021). Trust Region Policy Optimisation in Multi-Agent Reinforcement Learning. arXiv. https://arxiv.org/abs/2109.11251",Verificado via arXiv y Semantic Scholar
7,2019,Ingles,Articulo de conferencia,Actor-Attention-Critic for Multi-Agent Reinforcement Learning,"Iqbal, S., & Sha, F.","36th International Conference on Machine Learning (ICML 2019), PMLR 97, 2961-2970",PMLR; Semantic Scholar,USA,MAAC; atencion multiagente; actor-critic; CTDE; MARL cooperativo,Media — no usa CityLearn,Alta — MAAC es uno de los 4 backends de la tesis,Alta — introduce MAAC con atencion,Alta — MAAC disponible en MARLlib,Criticos MARL no pueden discriminar que informacion de otros agentes es relevante,Introducir mecanismo de atencion en el critico centralizado de MARL,Politicas descentralizadas; critico centralizado con atencion,Basica / Algoritmica,Experimental con entornos benchmark,Algoritmo actor-critic con atencion multi-cabeza; evaluacion empirica,MAAC,external/MAAC,Cooperativa y competitiva,Si — critico centralizado con atencion,POMDP cooperativo,Local,Si — estado concatenado en critico,Si,Discretas y continuas,Individual o compartida,Individual/equipo,No,No,No,SAC defaults,Recompensa episodica,Particle Environments (MPE),Benchmark MPE,https://arxiv.org/abs/1810.02912,No aplica,https://github.com/shariqiqbal2810/MAAC,https://arxiv.org/pdf/1810.02912,proceedings.mlr.press/v97/iqbal19a.html,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,MAAC supera MADDPG y COMA en entornos cooperativos con mecanismo de atencion,Mejora recompensa ~15-30% vs MADDPG en MPE,Primer uso de atencion multi-cabeza en critico centralizado MARL,La atencion mejora coordinacion selectiva entre agentes,No evaluado en energia; solo MPE; mecanismo atencion aumenta complejidad,Alta — backend MAAC de la tesis,Media,Media,Ninguna,Muy alta — mejor algoritmo en los 3 ejes segun evidencia,1,"(Iqbal & Sha, 2019)","Iqbal, S., & Sha, F. (2019). Actor-Attention-Critic for Multi-Agent Reinforcement Learning. In Proceedings of the 36th International Conference on Machine Learning (PMLR 97, pp. 2961–2970). https://proceedings.mlr.press/v97/iqbal19a.html",Verificado via ICML PMLR y GitHub
8,2017,Ingles,Articulo de conferencia,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,"Lowe, R., Wu, Y., Tamar, A., Harb, J., Abbeel, P., & Mordatch, I.","Advances in Neural Information Processing Systems 30 (NeurIPS 2017), 6382-6393",NeurIPS; Semantic Scholar,USA,MADDPG; CTDE; actor-critic; cooperativo-competitivo; MARL,Media,Alta — CTDE precursor de todos los backends de la tesis,Alta — introduce MADDPG y el esquema CTDE,Alta — MADDPG implementado en MARLlib,Q-learning y policy gradient no escalan bien en entornos multiagente,Proponer MADDPG con CTDE para entornos cooperativos-competitivos,Politicas descentralizadas; critico centralizado por agente; acciones de todos los agentes,Basica,Experimental con entornos benchmark,Actor-critic determinista multiagente; CTDE; ensemble de politicas,MADDPG,Custom (base de MATD3),Cooperativa y competitiva,Si — introduce el esquema,MDP / POSG,Local,Si — en critico,Si,Continuas,Cooperativa o competitiva,Individual,No,No,No,DDPG defaults,Recompensa episodica,Particle Environments (MPE),Benchmark MPE,https://arxiv.org/abs/1706.02275,No aplica,https://github.com/openai/maddpg,https://arxiv.org/pdf/1706.02275,NeurIPS 2017 proceedings.neurips.cc/paper/2017/hash/68a9750337a418a86fe06c1991a1d64c,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,MADDPG aprende politicas cooperativas-competitivas complejas; supera DDPG independiente,Mejora significativa en entornos cooperativos vs agente unico,"Establece el paradigma CTDE para MARL; base de MATD3, MAAC y otros",CTDE es esencial para escalabilidad en MARL cooperativo,DDPG determinista; sensible a hiperparametros,Alta — CTDE es el esquema de entrenamiento de la tesis,Media,Media,Ninguna,Muy alta — justificacion del esquema CTDE,1,"(Lowe et al., 2017)","Lowe, R., Wu, Y., Tamar, A., Harb, J., Abbeel, P., & Mordatch, I. (2017). Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments. In Advances in Neural Information Processing Systems 30 (pp. 6382–6393). https://proceedings.neurips.cc/paper/2017/hash/68a9750337a418a86fe06c1991a1d64c-Abstract.html",Verificado via NeurIPS y Semantic Scholar
9,2023,Ingles,Articulo de revista indexada,MARLlib: A Scalable and Efficient Multi-agent Reinforcement Learning Library,"Hu, S., Zhong, Y., Gao, M., Wang, W., Dong, H., Liang, X., Li, Z., Chang, X., & Yang, Y.","Journal of Machine Learning Research (JMLR), 24(315), 1-23",JMLR; ACM Digital Library,China,MARLlib; MARL; RLlib; biblioteca; CTDE; HAPPO; MASAC; MATD3; MAAC,Media — no usa CityLearn directamente,Alta — MARLlib como referencia tecnica de integracion,Alta — unifica multiples algoritmos MADRL,Maxima — es la paper oficial de MARLlib,Falta de biblioteca unificada y escalable para MARL con multiples entornos y algoritmos,Desarrollar MARLlib como biblioteca escalable compatible con RLlib,Compatibilidad; escalabilidad; multiples algoritmos MARL,Aplicada / Herramientas,Experimental con benchmarks MARL,Desarrollo de biblioteca; evaluacion de algoritmos en multiples entornos,HAPPO; MAAC; MADDPG; QMIX; VDN; MAPPO; +15 mas,MARLlib,Cooperativa; competitiva; mixta,Si — soporte nativo,Multiples (MDP; POMDP; Dec-POMDP),Local y global,Opcional,Si,Discretas y continuas,Multiples,Individual/equipo/mixto,Parcial,No,No,Configurables por algoritmo,Recompensa; perdida; entropia,StarCraft II; MPE; GRF; SMACv2; MuJoCo,Benchmarks MARL,https://github.com/Replicable-MARL/MARLlib,No aplica,https://github.com/Replicable-MARL/MARLlib,https://arxiv.org/pdf/2210.13708,10.5555/3648699.3649014,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,"MARLlib unifica >20 algoritmos en una interfaz; soporte para HAPPO, MAAC, MADDPG",resultado no verificado para config especifica de energia,Primera biblioteca MARL escalable unificada compatible con RLlib para investigacion reproducible,MARLlib reduce friccion de investigacion MARL; habilita comparaciones estandarizadas,Dependencia Ray/RLlib 1.8.0; sin soporte nativo CityLearn v2,Alta — referencia tecnica de integracion en la tesis,Media,Media,Ninguna,Muy alta — justificacion de MARLlib como referencia tecnica,1,"(Hu et al., 2023)","Hu, S., Zhong, Y., Gao, M., Wang, W., Dong, H., Liang, X., Li, Z., Chang, X., & Yang, Y. (2023). MARLlib: A Scalable and Efficient Multi-agent Reinforcement Learning Library. Journal of Machine Learning Research, 24(315), 1–23. https://www.jmlr.org/papers/v24/23-0378.html",Verificado via JMLR y arXiv:2210.13708
10,2019,Ingles,Articulo de conferencia,Optuna: A Next-Generation Hyperparameter Optimization Framework,"Akiba, T., Sano, S., Yanase, T., Ohta, T., & Koyama, M.","Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining (KDD 2019), 2623-2631",ACM Digital Library,Japon,Optuna; HPO; hiperparametros; TPE; optimizacion automatica; ML,Baja,Media — Optuna usado para HPO de backends MADRL,Media — HPO para RL,Baja,Optimizacion de hiperparametros en ML es manual y costosa,Presentar Optuna como framework automatizado de HPO con define-by-run API,Hiperparametros de ML; espacio de busqueda; eficiencia de HPO,Herramientas / Aplicada,Experimental comparativo,Framework define-by-run; TPE; poda de pruebas no prometedoras,TPE; GP; CMA-ES,Optuna,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Funcion objetivo de HPO,No aplica,Si — HPO multiobjetivo,Si,Si — paper oficial,Todos los de ML/DRL,Perdida de validacion; metrica objetivo,No aplica,Benchmarks ML,https://optuna.org,No aplica,https://github.com/optuna/optuna,https://arxiv.org/pdf/1907.10902,10.1145/3292500.3330701,Ninguno,Ninguno,Ninguno,Ninguno,Ninguno,Optuna supera otros frameworks HPO en eficiencia y flexibilidad,resultado no verificado para config especifica,Framework HPO estandar para ML/DRL con poda y define-by-run API,Optuna facilita HPO automatizado en multiples frameworks ML/DRL,No especifico para MARL; requiere funcion objetivo escalar,Media — HPO de backends MADRL,Baja,Baja,Ninguna,Alta — HPO de HAPPO/MASAC/MATD3/MAAC,2,"(Akiba et al., 2019)","Akiba, T., Sano, S., Yanase, T., Ohta, T., & Koyama, M. (2019). Optuna: A Next-Generation Hyperparameter Optimization Framework. In Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining (pp. 2623–2631). ACM. https://doi.org/10.1145/3292500.3330701",Verificado via KDD 2019 y arXiv:1907.10902
