variable,dimension,indicator,objective_axis,scenario,measurement_source,instrument,technique,scale,interpretation_rule
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_import,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_import_control,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_import_baseline,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_import_delta,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,zero_net_energy,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,net_exchange_control,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,net_exchange_baseline,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,net_exchange_delta,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_export_ratio,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
Desempeno del despacho optimo bajo restricciones electricas y operacion segura,Flexibilidad energetica,grid_export_control,OE1,E1,citylearn_v2.evaluate_v2,CityLearn v2 evaluate_v2 + CityLearn v3 proposed MADRL artifact tables,"Simulacion computacional, entrenamiento MADRL, comparacion contra baseline, analisis de KPIs, Shapiro-Wilk normalidad, Kruskal-Wallis, Mann-Whitney U, Wilcoxon signed-rank, Cliff's delta, Vargha-Delaney A12, Cohen d, Hedges g, Levene/Brown-Forsythe y bootstrap CI",Numerica continua o ratio segun KPI,Usar lower_is_better y delta_vs_baseline cuando exista baseline disponible
